num_trips,relative_humidity_2m,apparent_temperature,year,month,day,hour,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
30381,71,-5,2021,1,1,0,1,0,0,0,0,0,0
35784,75,-5,2021,1,1,1,1,0,0,0,0,0,0
33147,80,-5,2021,1,1,2,1,0,0,0,0,0,0
26165,84,-6,2021,1,1,3,1,0,0,0,0,0,0
16867,85,-6,2021,1,1,4,1,0,0,0,0,0,0
12323,87,-6,2021,1,1,5,1,0,0,0,0,0,0
9658,87,-6,2021,1,1,6,1,0,0,0,0,0,0
9439,88,-5,2021,1,1,7,1,0,0,0,0,0,0
8425,89,-5,2021,1,1,8,1,0,0,0,0,0,0
7931,78,-3,2021,1,1,9,1,0,0,0,0,0,0
9002,70,-2,2021,1,1,10,1,0,0,0,0,0,0
10369,65,-1,2021,1,1,11,1,0,0,0,0,0,0
11617,64,-1,2021,1,1,12,1,0,0,0,0,0,0
13504,62,0,2021,1,1,13,1,0,0,0,0,0,0
15461,63,0,2021,1,1,14,1,0,0,0,0,0,0
17373,68,0,2021,1,1,15,1,0,0,0,0,0,0
19072,74,0,2021,1,1,16,1,0,0,0,0,0,0
19148,77,0,2021,1,1,17,1,0,0,0,0,0,0
18173,82,-1,2021,1,1,18,1,0,0,0,0,0,0
19305,93,-1,2021,1,1,19,1,0,0,0,0,0,0
16908,94,-2,2021,1,1,20,1,0,0,0,0,0,0
16462,95,-1,2021,1,1,21,1,0,0,0,0,0,0
16177,96,0,2021,1,1,22,1,0,0,0,0,0,0
14195,97,-1,2021,1,1,23,1,0,0,0,0,0,0
11024,97,0,2021,1,2,0,0,0,1,0,0,0,0
7399,97,0,2021,1,2,1,0,0,1,0,0,0,0
5225,98,1,2021,1,2,2,0,0,1,0,0,0,0
3938,98,2,2021,1,2,3,0,0,1,0,0,0,0
3637,99,2,2021,1,2,4,0,0,1,0,0,0,0
4367,99,2,2021,1,2,5,0,0,1,0,0,0,0
6612,97,2,2021,1,2,6,0,0,1,0,0,0,0
8394,98,1,2021,1,2,7,0,0,1,0,0,0,0
9578,94,0,2021,1,2,8,0,0,1,0,0,0,0
11124,84,1,2021,1,2,9,0,0,1,0,0,0,0
12753,77,3,2021,1,2,10,0,0,1,0,0,0,0
14795,74,4,2021,1,2,11,0,0,1,0,0,0,0
16705,70,4,2021,1,2,12,0,0,1,0,0,0,0
18585,61,3,2021,1,2,13,0,0,1,0,0,0,0
19718,60,2,2021,1,2,14,0,0,1,0,0,0,0
20613,59,2,2021,1,2,15,0,0,1,0,0,0,0
21188,62,0,2021,1,2,16,0,0,1,0,0,0,0
22589,66,-1,2021,1,2,17,0,0,1,0,0,0,0
22107,69,-1,2021,1,2,18,0,0,1,0,0,0,0
21135,71,0,2021,1,2,19,0,0,1,0,0,0,0
18807,73,-1,2021,1,2,20,0,0,1,0,0,0,0
17594,75,-2,2021,1,2,21,0,0,1,0,0,0,0
18386,76,-2,2021,1,2,22,0,0,1,0,0,0,0
16145,81,-3,2021,1,2,23,0,0,1,0,0,0,0
13021,85,-3,2021,1,3,0,0,0,0,1,0,0,0
10153,86,-4,2021,1,3,1,0,0,0,1,0,0,0
7504,87,-4,2021,1,3,2,0,0,0,1,0,0,0
5780,83,-5,2021,1,3,3,0,0,0,1,0,0,0
4771,84,-5,2021,1,3,4,0,0,0,1,0,0,0
5007,85,-5,2021,1,3,5,0,0,0,1,0,0,0
6836,84,-5,2021,1,3,6,0,0,0,1,0,0,0
8077,82,-3,2021,1,3,7,0,0,0,1,0,0,0
