pickup_datehour,num_trips
2020-01-01 00:00:00.000000 UTC,56414
2020-01-01 01:00:00.000000 UTC,67707
2020-01-01 02:00:00.000000 UTC,65258
2020-01-01 03:00:00.000000 UTC,57364
2020-01-01 04:00:00.000000 UTC,40178
2020-01-01 05:00:00.000000 UTC,24932
2020-01-01 06:00:00.000000 UTC,17232
2020-01-01 07:00:00.000000 UTC,13944
2020-01-01 08:00:00.000000 UTC,12180
2020-01-01 09:00:00.000000 UTC,12959
2020-01-01 10:00:00.000000 UTC,15594
2020-01-01 11:00:00.000000 UTC,17998
2020-01-01 12:00:00.000000 UTC,20975
2020-01-01 13:00:00.000000 UTC,24196
2020-01-01 14:00:00.000000 UTC,25540
2020-01-01 15:00:00.000000 UTC,26918
2020-01-01 16:00:00.000000 UTC,27225
2020-01-01 17:00:00.000000 UTC,28735
2020-01-01 18:00:00.000000 UTC,29456
2020-01-01 19:00:00.000000 UTC,27947
2020-01-01 20:00:00.000000 UTC,25974
2020-01-01 21:00:00.000000 UTC,24287
2020-01-01 22:00:00.000000 UTC,22791
2020-01-01 23:00:00.000000 UTC,19043
2020-01-02 00:00:00.000000 UTC,13862
2020-01-02 01:00:00.000000 UTC,8184
2020-01-02 02:00:00.000000 UTC,5670
2020-01-02 03:00:00.000000 UTC,4726
2020-01-02 04:00:00.000000 UTC,6072
2020-01-02 05:00:00.000000 UTC,9125
2020-01-02 06:00:00.000000 UTC,15704
2020-01-02 07:00:00.000000 UTC,25596
2020-01-02 08:00:00.000000 UTC,29999
2020-01-02 09:00:00.000000 UTC,25330
2020-01-02 10:00:00.000000 UTC,22161
2020-01-02 11:00:00.000000 UTC,21168
2020-01-02 12:00:00.000000 UTC,22003
2020-01-02 13:00:00.000000 UTC,22737
2020-01-02 14:00:00.000000 UTC,25035
2020-01-02 15:00:00.000000 UTC,25531
2020-01-02 16:00:00.000000 UTC,26653
2020-01-02 17:00:00.000000 UTC,32375
2020-01-02 18:00:00.000000 UTC,31886
2020-01-02 19:00:00.000000 UTC,29779
2020-01-02 20:00:00.000000 UTC,26728
2020-01-02 21:00:00.000000 UTC,25793
2020-01-02 22:00:00.000000 UTC,23523
2020-01-02 23:00:00.000000 UTC,20274
2020-01-03 00:00:00.000000 UTC,15188
2020-01-03 01:00:00.000000 UTC,10353
2020-01-03 02:00:00.000000 UTC,7253
2020-01-03 03:00:00.000000 UTC,5907
2020-01-03 04:00:00.000000 UTC,6747
2020-01-03 05:00:00.000000 UTC,9481
2020-01-03 06:00:00.000000 UTC,16312
2020-01-03 07:00:00.000000 UTC,28168
2020-01-03 08:00:00.000000 UTC,34529
2020-01-03 09:00:00.000000 UTC,30574
2020-01-03 10:00:00.000000 UTC,25361
2020-01-03 11:00:00.000000 UTC,23193
2020-01-03 12:00:00.000000 UTC,23788
2020-01-03 13:00:00.000000 UTC,24733
2020-01-03 14:00:00.000000 UTC,27385
2020-01-03 15:00:00.000000 UTC,27887
2020-01-03 16:00:00.000000 UTC,29248
2020-01-03 17:00:00.000000 UTC,34203
2020-01-03 18:00:00.000000 UTC,36578
2020-01-03 19:00:00.000000 UTC,37875
2020-01-03 20:00:00.000000 UTC,34846
2020-01-03 21:00:00.000000 UTC,34337
2020-01-03 22:00:00.000000 UTC,35748
2020-01-03 23:00:00.000000 UTC,35229
2020-01-04 00:00:00.000000 UTC,29353
2020-01-04 01:00:00.000000 UTC,22949
2020-01-04 02:00:00.000000 UTC,17716
2020-01-04 03:00:00.000000 UTC,13747
2020-01-04 04:00:00.000000 UTC,10971
2020-01-04 05:00:00.000000 UTC,8536
2020-01-04 06:00:00.000000 UTC,10586
2020-01-04 07:00:00.000000 UTC,13119
2020-01-04 08:00:00.000000 UTC,17661
2020-01-04 09:00:00.000000 UTC,22053
2020-01-04 10:00:00.000000 UTC,24395
2020-01-04 11:00:00.000000 UTC,26408
2020-01-04 12:00:00.000000 UTC,27926
2020-01-04 13:00:00.000000 UTC,29032
2020-01-04 14:00:00.000000 UTC,28950
2020-01-04 15:00:00.000000 UTC,30618
2020-01-04 16:00:00.000000 UTC,32205
2020-01-04 17:00:00.000000 UTC,36032
2020-01-04 18:00:00.000000 UTC,38963
2020-01-04 19:00:00.000000 UTC,43051
2020-01-04 20:00:00.000000 UTC,41365
2020-01-04 21:00:00.000000 UTC,42786
2020-01-04 22:00:00.000000 UTC,44468
2020-01-04 23:00:00.000000 UTC,45103
2020-01-05 00:00:00.000000 UTC,37990
2020-01-05 01:00:00.000000 UTC,29856
2020-01-05 02:00:00.000000 UTC,22913
2020-01-05 03:00:00.000000 UTC,17123
2020-01-05 04:00:00.000000 UTC,12461
2020-01-05 05:00:00.000000 UTC,9282
2020-01-05 06:00:00.000000 UTC,10582
2020-01-05 07:00:00.000000 UTC,12220
2020-01-05 08:00:00.000000 UTC,15393
2020-01-05 09:00:00.000000 UTC,20462
2020-01-05 10:00:00.000000 UTC,26501
2020-01-05 11:00:00.000000 UTC,28956
2020-01-05 12:00:00.000000 UTC,30347
2020-01-05 13:00:00.000000 UTC,30639
2020-01-05 14:00:00.000000 UTC,30556
2020-01-05 15:00:00.000000 UTC,31328
2020-01-05 16:00:00.000000 UTC,32175
2020-01-05 17:00:00.000000 UTC,34292
2020-01-05 18:00:00.000000 UTC,34009
2020-01-05 19:00:00.000000 UTC,31931
2020-01-05 20:00:00.000000 UTC,29326
2020-01-05 21:00:00.000000 UTC,27244
2020-01-05 22:00:00.000000 UTC,23903
2020-01-05 23:00:00.000000 UTC,21162
2020-01-06 00:00:00.000000 UTC,14031
2020-01-06 01:00:00.000000 UTC,8404
2020-01-06 02:00:00.000000 UTC,6022
2020-01-06 03:00:00.000000 UTC,4798
2020-01-06 04:00:00.000000 UTC,6848
2020-01-06 05:00:00.000000 UTC,11566
2020-01-06 06:00:00.000000 UTC,19629
2020-01-06 07:00:00.000000 UTC,33650
2020-01-06 08:00:00.000000 UTC,41892
2020-01-06 09:00:00.000000 UTC,32271
2020-01-06 10:00:00.000000 UTC,24062
2020-01-06 11:00:00.000000 UTC,21690
2020-01-06 12:00:00.000000 UTC,21370
2020-01-06 13:00:00.000000 UTC,22444
