date,relative_humidity_2m,apparent_temperature,rain,snowfall,snow_depth,cloud_cover_low,wind_speed_10m,wind_gusts_10m
2023-05-16 13:00:00.000000 UTC,14.0,23.0,0.0,0.0,0.0,0.0,23.4,41.4
2023-05-16 14:00:00.000000 UTC,14.0,22.9,0.0,0.0,0.0,0.0,22.4,41.0
2023-05-16 12:00:00.000000 UTC,15.0,23.1,0.0,0.0,0.0,0.0,18.5,32.8
2023-05-16 15:00:00.000000 UTC,16.0,22.3,0.0,0.0,0.0,0.0,24.9,40.7
2023-04-11 13:00:00.000000 UTC,19.0,17.9,0.0,0.0,0.0,0.0,26.0,44.6
2023-02-04 14:00:00.000000 UTC,19.0,-10.3,0.0,0.0,0.0,0.0,7.3,22.7
2023-05-16 16:00:00.000000 UTC,19.0,21.8,0.0,0.0,0.0,0.0,24.9,41.4
2023-04-11 14:00:00.000000 UTC,20.0,17.9,0.0,0.0,0.0,0.0,25.6,45.4
2023-05-15 15:00:00.000000 UTC,20.0,22.3,0.0,0.0,0.0,0.0,14.4,27.0
2023-06-07 17:00:00.000000 UTC,20.0,18.7,0.0,0.0,0.0,0.0,21.3,35.3
2023-05-16 11:00:00.000000 UTC,21.0,22.5,0.0,0.0,0.0,0.0,13.0,26.3
2023-02-04 13:00:00.000000 UTC,21.0,-11.5,0.0,0.0,0.0,0.0,8.7,27.7
2023-05-15 14:00:00.000000 UTC,21.0,22.6,0.0,0.0,0.0,0.0,14.1,29.2
2022-04-15 14:00:00.000000 UTC,21.0,15.6,0.0,0.0,0.0,0.0,19.9,36.4
2020-03-07 15:00:00.000000 UTC,21.0,1.4,0.0,0.0,0.0,0.0,24.2,46.1
2023-02-04 15:00:00.000000 UTC,21.0,-10.0,0.0,0.0,0.0,0.0,11.6,24.1
2023-05-15 16:00:00.000000 UTC,21.0,20.9,0.0,0.0,0.0,0.0,17.3,29.5
2023-06-07 16:00:00.000000 UTC,21.0,20.3,0.0,0.0,0.0,0.0,16.2,31.7
2023-06-07 18:00:00.000000 UTC,21.0,18.3,0.0,0.0,0.0,0.0,19.4,37.1
2022-04-15 12:00:00.000000 UTC,22.0,15.5,0.0,0.0,0.0,0.0,14.3,27.7
2023-05-15 13:00:00.000000 UTC,22.0,21.5,0.0,0.0,0.0,0.0,15.1,29.2
2020-03-07 14:00:00.000000 UTC,22.0,1.5,0.0,0.0,0.0,0.0,25.6,49.0
2022-04-29 14:00:00.000000 UTC,22.0,9.7,0.0,0.0,0.0,0.0,27.6,50.0
2022-02-15 14:00:00.000000 UTC,22.0,-5.8,0.0,0.0,0.02,0.0,12.1,25.9
2023-06-07 15:00:00.000000 UTC,22.0,21.6,0.0,0.0,0.0,0.0,17.1,37.8
2023-04-11 15:00:00.000000 UTC,22.0,17.4,0.0,0.0,0.0,0.0,25.1,43.9
2022-04-29 15:00:00.000000 UTC,22.0,9.5,0.0,0.0,0.0,0.0,26.6,48.2
2020-03-07 16:00:00.000000 UTC,22.0,1.4,0.0,0.0,0.0,0.0,21.3,42.8
2023-02-04 16:00:00.000000 UTC,22.0,-10.1,0.0,0.0,0.0,0.0,15.3,27.4
2022-04-29 16:00:00.000000 UTC,22.0,8.7,0.0,0.0,0.0,0.0,26.3,46.1
2023-05-15 17:00:00.000000 UTC,22.0,19.8,0.0,0.0,0.0,0.0,18.7,30.6
2022-04-15 11:00:00.000000 UTC,23.0,14.6,0.0,0.0,0.0,0.0,11.6,28.1
2023-02-04 12:00:00.000000 UTC,23.0,-13.5,0.0,0.0,0.0,0.0,12.2,30.6
