name,measure,measure_info,geo_type_name,geo_place_name,data_value,Stations,Final Date
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Bedford Stuyvesant - Crown Heights,25.3,Annual,2011
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Bedford Stuyvesant - Crown Heights,26.93,Annual,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF34,East New York,19.09,Annual,2015
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Fordham - Bronx Pk,19.76,Annual,2015
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Pelham - Throgs Neck,22.83,Annual,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Pelham - Throgs Neck,16.19,Annual,2020
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Chelsea-Village,38.16,Annual,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Chelsea-Village,34.96,Annual,2011
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Borough Park,30.1,Winter,2010
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Borough Park,20.23,Annual,2013
Nitrogen dioxide (NO2),Mean,ppb,UHF42,High Bridge - Morrisania,23.73,Annual,2013
Nitrogen dioxide (NO2),Mean,ppb,UHF42,High Bridge - Morrisania,26.0,Winter,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF42,High Bridge - Morrisania,18.04,Annual,2021
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Bensonhurst - Bay Ridge,28.44,Winter,2010
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Bensonhurst - Bay Ridge,18.95,Summer,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Coney Island - Sheepshead Bay,15.22,Summer,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Coney Island - Sheepshead Bay,25.7,Winter,2010
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Coney Island - Sheepshead Bay,16.36,Annual,2013
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Rockaways,11.41,Annual,2021
Nitrogen dioxide (NO2),Mean,ppb,CD,Mott Haven and Melrose (CD1),21.25,Annual,2017
Nitrogen dioxide (NO2),Mean,ppb,CD,Financial District (CD1),30.4,Winter,2014
Nitrogen dioxide (NO2),Mean,ppb,CD,Financial District (CD1),21.61,Annual,2021
Nitrogen dioxide (NO2),Mean,ppb,CD,Greenwich Village and Soho (CD2),36.79,Winter,2010
Nitrogen dioxide (NO2),Mean,ppb,CD,Greenwich Village and Soho (CD2),31.63,Summer,2009
Nitrogen dioxide (NO2),Mean,ppb,CD,Greenwich Village and Soho (CD2),29.27,Annual,2013
Nitrogen dioxide (NO2),Mean,ppb,CD,Woodside and Sunnyside (CD2),26.28,Winter,2014
Nitrogen dioxide (NO2),Mean,ppb,CD,Woodside and Sunnyside (CD2),20.21,Annual,2021
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Bedford Stuyvesant - Crown Heights,28.86,Winter,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF34,East New York,13.39,Summer,2017
Nitrogen dioxide (NO2),Mean,ppb,UHF34,East New York,11.97,Summer,2018
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Fordham - Bronx Pk,23.87,Winter,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Pelham - Throgs Neck,14.14,Summer,2017
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Greenpoint,26.69,Winter,2018
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Kingsbridge - Riverdale,13.55,Summer,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Kingsbridge - Riverdale,18.32,Winter,2018
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Northeast Bronx,15.4,Summer,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Northeast Bronx,19.11,Winter,2018
Nitrogen dioxide (NO2),Mean,ppb,UHF34,West Queens,16.64,Summer,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF34,West Queens,24.36,Winter,2018
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Washington Heights,25.56,Annual,2011
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Washington Heights,18.08,Annual,2020
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Hunts Point - Mott Haven,23.0,Summer,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Hunts Point - Mott Haven,21.54,Annual,2013
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Hunts Point - Mott Haven,18.52,Annual,2021
Nitrogen dioxide (NO2),Mean,ppb,UHF42,East Flatbush - Flatbush,21.39,Summer,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF42,East Flatbush - Flatbush,25.7,Winter,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Canarsie - Flatlands,26.24,Winter,2010
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Southwest Queens,18.59,Summer,2009
Nitrogen dioxide (NO2),Mean,ppb,CD,Morrisania and Crotona (CD3),30.92,Winter,2010
Nitrogen dioxide (NO2),Mean,ppb,CD,Morrisania and Crotona (CD3),22.32,Annual,2013
Nitrogen dioxide (NO2),Mean,ppb,CD,Lower East Side and Chinatown (CD3),23.65,Annual,2017
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Central Harlem - Morningside Heights,28.23,Annual,2011
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Central Harlem - Morningside Heights,19.54,Summer,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Central Harlem - Morningside Heights,23.15,Annual,2015
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Central Harlem - Morningside Heights,24.69,Winter,2018
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Downtown - Heights - Slope,26.27,Winter,2016
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Downtown - Heights - Slope,16.37,Summer,2018
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Kingsbridge - Riverdale,11.69,Summer,2018
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Kingsbridge - Riverdale,13.02,Summer,2017
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Northeast Bronx,18.97,Annual,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Northeast Bronx,14.37,Summer,2017
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Northeast Bronx,13.05,Summer,2018
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Hunts Point - Mott Haven,26.48,Winter,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Hunts Point - Mott Haven,25.17,Winter,2011
Nitrogen dioxide (NO2),Mean,ppb,Borough,Bronx,19.8,Annual,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Bensonhurst - Bay Ridge,18.62,Annual,2015
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Bensonhurst - Bay Ridge,20.53,Winter,2018
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Bensonhurst - Bay Ridge,14.81,Annual,2020
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Williamsburg - Bushwick,27.13,Annual,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Williamsburg - Bushwick,25.75,Annual,2011
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Williamsburg - Bushwick,21.27,Annual,2015
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Williamsburg - Bushwick,17.0,Summer,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Northern SI,16.0,Annual,2015
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Northern SI,18.62,Winter,2018
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Northern SI,13.11,Annual,2020
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Greenpoint,21.19,Annual,2017
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Greenpoint,20.55,Annual,2021
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Kingsbridge - Riverdale,25.48,Winter,2010
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Port Richmond,27.72,Winter,2010
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Port Richmond,22.69,Winter,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Port Richmond,16.98,Annual,2017
Nitrogen dioxide (NO2),Mean,ppb,CD,Upper East Side (CD8),29.3,Winter,2014
Nitrogen dioxide (NO2),Mean,ppb,CD,Upper East Side (CD8),20.37,Annual,2021
Nitrogen dioxide (NO2),Mean,ppb,CD,Central Harlem (CD10),26.84,Winter,2014
Nitrogen dioxide (NO2),Mean,ppb,CD,Washington Heights and Inwood (CD12),20.14,Annual,2017
Nitrogen dioxide (NO2),Mean,ppb,CD,Bay Ridge and Dyker Heights (CD10),29.44,Winter,2010
Nitrogen dioxide (NO2),Mean,ppb,CD,Bay Ridge and Dyker Heights (CD10),20.38,Summer,2009
Nitrogen dioxide (NO2),Mean,ppb,CD,Bay Ridge and Dyker Heights (CD10),19.48,Annual,2013
Nitrogen dioxide (NO2),Mean,ppb,CD,Bay Ridge and Dyker Heights (CD10),25.17,Winter,2014
Nitrogen dioxide (NO2),Mean,ppb,CD,Bay Ridge and Dyker Heights (CD10),16.42,Annual,2021
Nitrogen dioxide (NO2),Mean,ppb,CD,Borough Park (CD12),19.03,Annual,2017
Nitrogen dioxide (NO2),Mean,ppb,CD,Borough Park (CD12),16.92,Annual,2021
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Bensonhurst - Bay Ridge,23.78,Winter,2016
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Bensonhurst - Bay Ridge,11.47,Summer,2018
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Bensonhurst - Bay Ridge,9.8,Summer,2020
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Williamsburg - Bushwick,28.63,Winter,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Williamsburg - Bushwick,22.2,Annual,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Williamsburg - Bushwick,15.84,Summer,2018
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Pelham - Throgs Neck,25.91,Winter,2016
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Flushing - Clearview,19.45,Annual,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Flushing - Clearview,11.03,Summer,2020
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Borough Park,28.09,Winter,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Borough Park,23.5,Winter,2011
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Lower Manhattan,16.58,Summer,2020
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Lower Manhattan,22.95,Summer,2017
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Lower Manhattan,30.24,Winter,2016
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Borough Park,13.77,Summer,2017
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Borough Park,25.04,Winter,2016
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Bensonhurst - Bay Ridge,26.54,Winter,2009
